Area,Value_T,Value_Y,continent,dummy_temp,above_median,Value_T_2,Value_Prec_Anom
USSR,1.4533333333333334,52.02046031433854,Europe,0,0,2.1121777777777777,-0.5552435897435899
United Kingdom of Great Britain and Northern Ireland,1.2256666666666665,29.88127395133151,Europe,0,0,1.5022587777777772,2.4866794871794915
United States of America,1.204,83.54610353930443,North America,0,0,1.4496159999999998,3.523064102564097
Venezuela (Bolivarian Republic of),1.2396666666666667,90.44790179408612,South America,0,0,1.5367734444444445,5.539487179487177
Viet Nam,1.3556666666666668,29.530851150209187,Asia,0,0,1.8378321111111116,-11.878153846153841
Yugoslav SFR,1.985,85.17928427791118,Europe,0,0,3.9402250000000003,10.426628205128202
Angola,1.302,8.666487633415493,Africa,0,0,1.6952040000000002,3.9112692307692214
Argentina,1.1563333333333332,159.83058381345822,South America,0,0,1.3371067777777774,-3.9165641025641
Australia,1.6446666666666667,88.43463650348062,Oceania,0,0,2.7049284444444446,-6.3786923076923046
Bolivia (Plurinational State of),1.0753333333333333,21.61565071332305,South America,0,0,1.1563417777777776,-4.483512820512819
Brazil,1.236,261.3329242102993,South America,0,0,1.527696,-2.191692307692307
Chile,0.8886666666666666,187.6927530748675,South America,0,0,0.7897284444444443,-8.336
Colombia,1.332,91.34506771744574,South America,0,0,1.7742240000000002,-14.324179487179473
Democratic Republic of the Congo,1.4666666666666668,-12.730279205870149,Africa,0,0,2.1511111111111116,5.706115384615383
Ecuador,1.2096666666666667,28.711189145342846,South America,0,0,1.4632934444444445,1.6876410256410186
Lesotho,1.1286666666666667,31.900298813517793,Africa,0,0,1.2738884444444445,-1.82376923076923
Mozambique,0.9886666666666667,101.60078294346467,Africa,0,0,0.9774617777777779,8.367717948717948
New Caledonia,1.515,10.951044783957778,Oceania,0,0,2.295225,-12.574448717948721
New Zealand,1.1706666666666667,80.93981308501037,Oceania,0,0,1.3704604444444446,5.525153846153842
Paraguay,1.0276666666666667,124.66453198582856,South America,0,0,1.056098777777778,-6.0670769230769155
Peru,1.047,146.71840740309392,South America,0,0,1.0962089999999998,0.1099743589743601
South Africa,1.1716666666666666,157.41262236368726,Africa,0,0,1.3728027777777776,-3.8389615384615325
Uganda,1.2386666666666668,-23.771186696571288,Africa,0,0,1.5342951111111114,13.28353846153846
United Republic of Tanzania,1.1126666666666667,168.0705839575351,Africa,0,0,1.2380271111111112,18.33823076923079
Uruguay,1.1523333333333334,300.89422598247654,South America,0,0,1.3278721111111114,-12.190807692307686
