Area,Value,Year
Europe,14.792506035768657,1967
Europe,15.382522546948712,1968
Europe,14.073559208570723,1969
Europe,15.139089873514862,1970
Europe,14.312005620915269,1971
Europe,14.010909630304495,1972
Europe,16.09429395557273,1973
Europe,14.472120252411017,1974
Europe,13.953800025797317,1975
Europe,14.816335723533012,1976
Europe,14.98418953861841,1977
Europe,15.916484630882865,1978
Europe,16.66601232214738,1979
Europe,12.691761286720148,1980
Europe,14.903640721116101,1981
Europe,14.510344685262048,1982
Europe,14.490388364387474,1983
Europe,16.266778782217106,1984
Europe,15.825469868910236,1985
Europe,17.139944941967798,1986
Europe,16.30708079770439,1987
Europe,15.006691353424232,1988
Europe,15.918157025488654,1989
Europe,15.3573201570347,1990
Europe,14.571832640301148,1991
Europe,14.79915589173475,1992
Europe,16.658512062630056,1993
Europe,13.929187983276279,1994
Europe,14.92103799972283,1995
Europe,16.627506172659174,1996
Europe,15.223441091677355,1997
Europe,15.038516963781078,1998
Europe,14.76834688371369,1999
Europe,16.337532019865797,2000
Europe,15.663085289979653,2001
Europe,16.23371322745899,2002
Europe,16.33898839258014,2003
Europe,18.258973815852354,2004
Europe,17.767703083482207,2005
Europe,17.702610015784476,2006
Europe,18.912657179738584,2007
Europe,19.238697247210467,2008
Europe,19.57717619565264,2009
Europe,17.759852962125347,2010
Europe,20.996992419675426,2011
Europe,19.46084563376913,2012
Europe,20.108707713359685,2013
Europe,21.989562721010355,2014
Europe,20.95584803096839,2015
Europe,22.163771400340828,2016
Europe,23.516966387651838,2017
Europe,21.99174773021187,2018
Europe,22.707787166537724,2019
Europe,23.46955069154399,2020
Europe,23.34828211474062,2021
North America,20.06135087984954,1961
North America,20.266346641883416,1962
North America,20.84102383812342,1963
North America,19.694459489321506,1964
North America,21.387826365572888,1965
North America,21.66832263966275,1966
North America,21.386212632092782,1967
North America,22.041657263221243,1968
North America,22.445125351827546,1969
North America,23.060430716858686,1970
North America,23.0839317351457,1971
North America,23.591252914078417,1972
North America,23.095848319658312,1973
North America,24.674212219155244,1974
North America,25.225118075143776,1975
North America,26.030026378038947,1976
North America,26.00896984070938,1977
North America,26.429864047651524,1978
North America,26.47781560295171,1979
North America,25.839173152506223,1980
North America,27.073910687157944,1981
North America,27.697688440562146,1982
North America,26.183186665315016,1983
North America,27.4919170255615,1984
North America,29.769963369009034,1985
North America,29.28687393457261,1986
North America,29.918553825829548,1987
North America,28.12038046349697,1988
North America,28.879850725977487,1989
North America,29.187985674621967,1990
North America,24.54790530675424,1991
North America,26.18540488290643,1992
North America,26.046229269585034,1993
North America,27.163639964101165,1994
North America,25.685312566707672,1995
North America,27.72647516968342,1996
North America,26.749000889744227,1997
North America,26.65968285159176,1998
North America,27.437931671310526,1999
North America,29.118969304614197,2000
North America,26.399108388028065,2001
North America,27.027291809726865,2002
North America,27.060562146257624,2003
North America,28.45616565781819,2004
North America,28.311610570706016,2005
North America,29.153710427420496,2006
North America,29.13348984857172,2007
North America,29.09527036944496,2008
North America,30.392188481172358,2009
North America,40.893566066218746,2010
North America,40.37072775398614,2011
North America,41.35577229854216,2012
North America,42.161497224225975,2013
North America,42.88049641042532,2014
North America,42.85304822476873,2015
North America,43.150352903106224,2016
North America,43.23604602865907,2017
North America,44.000180820684726,2018
North America,44.32750958028309,2019
North America,44.32027960052417,2020
North America,43.8500072586537,2021
Oceania,14.312493558427638,1961
Oceania,15.535120632615186,1962
Oceania,15.725917709452668,1963
Oceania,15.181902985074627,1964
Oceania,16.450700496864055,1965
Oceania,17.737728474537303,1966
Oceania,18.106167846309404,1967
Oceania,18.106542234072947,1968
Oceania,19.87313432835821,1969
Oceania,19.8217614644625,1970
Oceania,21.734436931685707,1971
Oceania,21.94437244131745,1972
Oceania,21.675752227814453,1973
Oceania,20.31721712032862,1974
Oceania,20.755030396438052,1975
Oceania,21.918836956270113,1976
Oceania,22.674302270309422,1977
Oceania,22.104579302513486,1978
Oceania,23.467939396782214,1979
Oceania,24.005201357264042,1980
Oceania,24.58128078817734,1981
Oceania,25.53290529695024,1982
Oceania,23.959656707473677,1983
Oceania,27.37735378476119,1984
Oceania,26.39033534680275,1985
Oceania,27.524047761990527,1986
Oceania,27.976786713136267,1987
Oceania,27.603911581949678,1988
Oceania,28.1945538546701,1989
Oceania,29.44738777010743,1990
Oceania,29.380804030649735,1991
Oceania,29.568886947440298,1992
Oceania,31.97487955553713,1993
Oceania,32.049711881642175,1994
Oceania,33.019855818743565,1995
Oceania,33.807797670281744,1996
Oceania,33.758465361913636,1997
Oceania,32.8433633591532,1998
Oceania,34.089018891828445,1999
Oceania,31.327739133635127,2000
